,PP NR,Reversed,Condition,score1st,score2nd,score3rd,Overall,BIC,nstates,entropy,BIC_scaled,nstates_scaled,entropy_scaled,score1st_scaled,score2nd_scaled,score3rd_scaled,Overall_scaled
1,p1320116514,0,2,0.9,0.56,0.67,0.676956522,19666.913490804207,15,0.0063330726119444495,-0.47540206979329214,0.9497616345574957,-0.6711797374372221,1.738636575808753,-0.25229762762966623,-0.3110307171719265,0.1668164479521848
2,p1320149514,0,2,0.4,0.444444444,0.38888888899999996,0.41304347799999996,16639.149632106746,11,0.010383666392320358,-0.6598462697694221,-0.33805075128317674,-0.4804322017848687,-0.5291502621040647,-0.7637782011274759,-1.4708062720989203,-1.229518881609189
3,p13201516514,0,2,0.7,0.666666667,1.0,0.804347826,33176.68713877755,15,0.006971364991438767,0.34758132939128417,0.9497616345574957,-0.6411217496419318,0.8315218406436256,0.21983828602782876,1.050444934802242,0.8408300387851302
4,p13201720514,0,2,0.1,0.111111111,0.27777777800000003,0.173913044,21567.312496398976,17,0.008232974814766328,-0.35963426537371235,1.593667827477832,-0.5817109625320479,-1.8898223648517556,-2.2392029252210213,-1.9292155820695238,-2.494732106036036
5,p13201820514,0,2,0.5,0.5,0.7777777779999999,0.608695652,55205.68680428261,14,0.01889852518612557,1.6895357912317994,0.6278085380973276,-0.07945683387340542,-0.07559289452150125,-0.5178740782320811,0.13362631486103424,-0.19434442141202943
6,p132R0128514,1,2,0.6,0.78,0.67,0.697826087,2650.264243329099,6,0.08100393164907328,-1.5120160209470617,-1.9478162335840175,2.8451645613620435,0.3779644730610622,0.7214826912458542,-0.3110307171719265,0.27723505584061325
7,p132R0139514,1,2,0.7,0.5,0.8,0.660869565,14220.117658405503,10,0.021636812051255803,-0.8072079657036448,-0.6600038477433449,0.04949252509794208,0.8315218406436256,-0.5178740782320811,0.22530817603001874,0.08170210095448739
9,p132r01619514,1,2,0.3,0.8888888890000001,1.0,0.804347826,21867.540060694806,10,0.005911580474690696,-0.3413451135469418,-0.6600038477433449,-0.6910283302207068,-0.9827076296866284,1.2034547687568595,1.050444934802242,0.8408300387851302
10,p13202126514,0,2,0.5,0.5,0.7777777779999999,0.608695652,38558.892808851466,11,0.012134240854035435,0.6754525456593976,-0.33805075128317674,-0.39799545728438523,-0.07559289452150125,-0.5178740782320811,0.13362631486103424,-0.19434442141202943
11,p13202021514,0,2,0.4,0.944444444,0.944444444,0.826086957,45931.221063692756,12,0.028961270154905197,1.124557314189991,-0.016097654823008636,0.3944104331905117,-0.5291502621040647,1.44935888722598,0.8212402777540984,0.9558494261908657
13,p1230105514,0,1,0.4,0.444444444,0.8888888890000001,0.608695652,17198.384423927153,9,0.02191268054232514,-0.6257790113602717,-0.981956944203513,0.06248351794707587,-0.5291502621040647,-0.7637782011274759,0.5920356248316385,-0.19434442141202943
14,p1230115514,0,1,0.3,0.611111111,0.944444444,0.6739130440000001,32361.22430576595,15,0.00963358852340231,0.2979052658458931,0.9497616345574957,-0.5157543083206193,-0.9827076296866284,-0.026065836867565723,0.8212402777540984,0.15071373551428538
16,p12301516514,0,1,0.7,0.944444444,1.0,0.913043478,27699.412094773095,11,2.956941751232302e-139,0.013918712130494068,-0.33805075128317674,-0.9694120607297615,0.8315218406436256,1.44935888722598,1.050444934802242,1.4159269599411317
17,p12301720514,0,1,0.6,0.5555555560000001,0.5,0.543478261,3675.194527614348,6,0.0791111848734714,-1.4495796966038463,-1.9478162335840175,2.7560327444888904,0.3779644730610622,-0.27196995533668616,-1.0123969621283166,-0.5394025730474521
18,p123R0126514,1,1,0.3,0.28,0.33,0.30391304399999997,23992.105191627754,9,0.02920061503729551,-0.21192163993407942,-0.981956944203513,0.40568148355061906,-0.9827076296866284,-1.4916543971076015,-1.7137632070847064,-1.8069161872329527
19,p123R0137514,1,1,0.7,0.39,0.33,0.43391304399999997,29717.35034651182,11,0.005276700585140004,0.13684672891556054,-0.33805075128317674,-0.7209256195894259,0.8315218406436256,-1.0047642376698414,-1.7137632070847064,-1.1191002684298692
20,p123R0147514,1,1,1.0,0.83,0.83,0.8669565220000001,17243.71885925241,16,0.014406749330353397,-0.6230173449803401,1.271714731017664,-0.2909801861636885,2.1921939433913162,0.9427964000811994,0.3490786898458519,1.172085867741307
21,p123r01619514,1,1,0.6,0.944444444,0.8888888890000001,0.8478260870000001,42007.63335816209,15,0.018666520219683697,0.8855416481221262,0.9497616345574957,-0.09038223839614358,0.3779644730610622,1.44935888722598,0.5920356248316385,1.0708688083057096
23,p12301921514,0,1,0.3,0.7222222220000001,0.8888888890000001,0.695652174,71086.64713253733,15,0.01854842685929222,2.6569662644450287,0.9497616345574957,-0.09594340268289883,-0.9827076296866284,0.4657424044969497,0.5920356248316385,0.2657331176291287
24,p123R0223614,1,1,0.333333333,0.7222222220000001,1.0,0.7463768120000001,14953.103551330683,13,0.01449249793428011,-0.7625562019189569,0.3058554416371595,-0.2869421769799751,-0.8315218420042984,0.4657424044969497,1.050444934802242,0.5341116829516197
